setup_id,trial_id,seed,mutation_rate,crossover_rate,crossover_type,selection_type,restricted_mating,evaluation_backend,n_jobs,chunksize,final_best_fitness,best_generation,generations_run,stopped_early,runtime_seconds
9,5,978,0.1,0.9,pmx,tournament,best_partial_match,process,8,5,0.13977302610874176,479,500,False,440.78756774999783
10,1,1074,0.1,0.9,pmx,tournament,unidirectional,process,8,5,0.14302371442317963,497,500,False,489.0562285420019
10,2,1075,0.1,0.9,pmx,tournament,unidirectional,process,8,5,0.14463691413402557,470,500,False,690.1689699999988
10,3,1076,0.1,0.9,pmx,tournament,unidirectional,process,8,5,0.13968980312347412,482,500,False,870.1319050419988
10,4,1077,0.1,0.9,pmx,tournament,unidirectional,process,8,5,0.14618919789791107,500,500,False,479.0976192079979
10,5,1078,0.1,0.9,pmx,tournament,unidirectional,process,8,5,0.14399978518486023,493,500,False,776.3175102919995
11,1,1174,0.1,0.9,pmx,ranking,best_partial_match,process,8,5,0.14287325739860535,472,500,False,460.8098242500055
11,2,1175,0.1,0.9,pmx,ranking,best_partial_match,process,8,5,0.14387527108192444,493,500,False,489.6710952919966
11,3,1176,0.1,0.9,pmx,ranking,best_partial_match,process,8,5,0.1459088772535324,402,452,True,444.9501058340029
11,4,1177,0.1,0.9,pmx,ranking,best_partial_match,process,8,5,0.1450534164905548,487,500,False,519.4369497500011
11,5,1178,0.1,0.9,pmx,ranking,best_partial_match,process,8,5,0.14034496247768402,473,500,False,501.8317867500009
12,1,1274,0.1,0.9,pmx,ranking,unidirectional,process,8,5,0.14011774957180023,494,500,False,517.1303845830043
12,2,1275,0.1,0.9,pmx,ranking,unidirectional,process,8,5,0.15187613666057587,497,500,False,538.6982382499991
12,3,1276,0.1,0.9,pmx,ranking,unidirectional,process,8,5,0.1468701958656311,494,500,False,528.2896939589991
12,4,1277,0.1,0.9,pmx,ranking,unidirectional,process,8,5,0.1589263379573822,390,440,True,482.4204462500056
12,5,1278,0.1,0.9,pmx,ranking,unidirectional,process,8,5,0.14052915573120117,492,500,False,553.3939052080023
